COMP_SPECIES	START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_STOP	MAP_SIZE	MEAN_DIST_LOCI	
gacu	dDocent_Contig_3765	dDocent_Contig_23306	3	8	9768502	10844105	1075603	12	37.97	37.97	0.08	358534	
lcal	dDocent_Contig_19168	dDocent_Contig_101762	4	7_1	14708598	14986542	277944	11	25.25	25.33	0.08	69486	
trub	dDocent_Contig_18098	dDocent_Contig_56197	2	2	30152	36729	6577	7	32.55	32.47	0.08	3289	
lcal	dDocent_Contig_1655	dDocent_Contig_8219	2	7_1	2974018	3133577	159559	11	59.37	59.28	0.09	79780	
dlab	dDocent_Contig_8219	dDocent_Contig_1655	2	17	19203069	19173852	29217	11	59.28	59.37	0.09	14609	
lcal	dDocent_Contig_10820	dDocent_Contig_9496	2	3	16778385	16918883	140498	22	57.44	57.33	0.11	70249	
dlab	dDocent_Contig_22395	dDocent_Contig_8641	2	6	18232269	18788941	556672	24	37.15	37.28	0.13	278336	
lcal	dDocent_Contig_167474	dDocent_Contig_301658	2	2	9974166	10341284	367118	20	40.05	39.92	0.13	183559	
lcal	dDocent_Contig_52068	dDocent_Contig_11636	5	2	16949118	18939319	1990201	20	18.22	18.37	0.15	398040	
onil	dDocent_Contig_233714	dDocent_Contig_38981	4	1	16854115	17605238	917596	20	28.17	28.32	0.15	229399	
tnig	dDocent_Contig_25574	dDocent_Contig_12895	2	16	3403949	2522252	881697	3	16.67	16.82	0.15	440849	
gacu	dDocent_Contig_233714	dDocent_Contig_38981	4	2	14097648	14639018	686288	20	28.17	28.32	0.15	171572	
tnig	dDocent_Contig_98083	dDocent_Contig_17871	2	16	4452136	5134304	682168	3	8.76	8.91	0.15	341084	
tnig	dDocent_Contig_246412	dDocent_Contig_2375	2	9	9438108	9862463	424355	23	9.89	10.04	0.15	212178	
trub	dDocent_Contig_77672	dDocent_Contig_11636	2	13	1132692	1398929	266237	20	18.22	18.37	0.15	133119	
onil	dDocent_Contig_36018	dDocent_Contig_38092	2	9	5327723	5589888	262165	8	20.73	20.88	0.15	131083	
onil	dDocent_Contig_25863	dDocent_Contig_17856	3	1	18444945	20071696	1626751	20	25.37	25.21	0.16	542250	
dlab	dDocent_Contig_283544	dDocent_Contig_25574	2	13	19511647	20766663	1255016	3	16.51	16.67	0.16	627508	
lcal	dDocent_Contig_283544	dDocent_Contig_25574	2	21	14722857	15974787	1251930	3	16.51	16.67	0.16	625965	
gacu	dDocent_Contig_25863	dDocent_Contig_17856	3	2	15189013	16246599	1057586	20	25.37	25.21	0.16	352529	
lcal	dDocent_Contig_126711	dDocent_Contig_67109	2	17	24989797	24030142	959655	12	66.91	67.07	0.16	479828	
dlab	dDocent_Contig_122239	dDocent_Contig_7808	2	4	17110231	17733248	623017	12	22.02	22.18	0.16	311509	
lcal	dDocent_Contig_16207	dDocent_Contig_50700	3	7_2	3982681	5504694	1522013	21	35.89	36.06	0.17	507338	
dlab	dDocent_Contig_53753	dDocent_Contig_50700	2	24	3696021	4898978	1202957	21	35.89	36.06	0.17	601479	
trub	dDocent_Contig_9101	dDocent_Contig_267577	2	8	14138548	14574383	435835	17	26.68	26.51	0.17	217918	
dlab	dDocent_Contig_47183	dDocent_Contig_374605	2	13	11302852	11500032	197180	3	30.5	30.67	0.17	98590	
lcal	dDocent_Contig_47183	dDocent_Contig_374605	2	21	6353326	6546668	193342	3	30.5	30.67	0.17	96671	
lcal	dDocent_Contig_20038	dDocent_Contig_4389	2	17	6064491	6173020	108529	12	10.08	10.25	0.17	54265	
gacu	dDocent_Contig_197331	dDocent_Contig_61063	2	11	12678539	12738645	60106	19	30.96	30.79	0.17	30053	
dlab	dDocent_Contig_197331	dDocent_Contig_61063	2	8	1329473	1382207	52734	19	30.96	30.79	0.17	26367	
tnig	dDocent_Contig_173	dDocent_Contig_86254	2	18	1660585	1674822	14237	4	26.77	26.95	0.18	7119	
lcal	dDocent_Contig_9983	dDocent_Contig_9310	2	9	11607284	12465759	858475	14	22.6	22.79	0.19	429238	
dlab	dDocent_Contig_9983	dDocent_Contig_9310	2	19	13161218	12321924	839294	14	22.6	22.79	0.19	419647	
onil	dDocent_Contig_89980	dDocent_Contig_48591	3	13	788470	1040128	251658	2	52.22	52.22	0.21	83886	
lcal	dDocent_Contig_89980	dDocent_Contig_48591	3	16-22	15758213	16004367	246154	2	52.22	52.22	0.21	82051	
trub	dDocent_Contig_89980	dDocent_Contig_48591	3	4	5489620	5641003	151383	2	52.22	52.22	0.21	50461	
onil	dDocent_Contig_134968	dDocent_Contig_37785	4	11	15914895	18454977	2620800	16	31.06	31.28	0.22	655200	
dlab	dDocent_Contig_371139	dDocent_Contig_134968	3	16	8516612	9146564	629952	16	31.28	31.06	0.22	209984	
onil	dDocent_Contig_27437	dDocent_Contig_30483	3	18	11818811	12258662	512396	10	35.39	35.39	0.22	170799	
dlab	dDocent_Contig_27437	dDocent_Contig_30483	3	10	13344322	13713117	442996	10	35.39	35.39	0.22	147665	
gacu	dDocent_Contig_141242	dDocent_Contig_8987	3	12	10966737	11363755	397018	23	32.04	31.82	0.22	132339	
gacu	dDocent_Contig_18333	dDocent_Contig_27437	3	3	600631	972115	371484	10	35.61	35.39	0.22	123828	
trub	dDocent_Contig_32102	dDocent_Contig_8987	4	3	6836814	7125003	340593	23	32.04	31.82	0.22	85148	
lcal	dDocent_Contig_52023	dDocent_Contig_222349	2	6	22513525	22362026	151499	23	10.6	10.82	0.22	75750	
trub	dDocent_Contig_10383	dDocent_Contig_42416	2	15	1762844	2199202	436358	9	40.85	41.08	0.23	218179	
lcal	dDocent_Contig_35934	dDocent_Contig_36275	4	6	14262673	15222220	959547	23	31.6	31.35	0.25	239887	
dlab	dDocent_Contig_36275	dDocent_Contig_35934	4	22-25	10925093	11810155	885062	23	31.35	31.6	0.25	221266	
onil	dDocent_Contig_5023	dDocent_Contig_4056	2	19	11305835	11657446	351611	7	5.25	5	0.25	175806	
dlab	dDocent_Contig_193602	dDocent_Contig_301464	2	11	14737764	15086073	348309	2	35.64	35.39	0.25	174155	
lcal	dDocent_Contig_193602	dDocent_Contig_301464	2	16-22	12697759	13016901	319142	2	35.64	35.39	0.25	159571	
lcal	dDocent_Contig_10816	dDocent_Contig_27373	2	1	20753863	21049611	295748	13	40.83	40.58	0.25	147874	
dlab	dDocent_Contig_5023	dDocent_Contig_4056	2	12	3498488	3747439	248951	7	5.25	5	0.25	124476	
lcal	dDocent_Contig_5023	dDocent_Contig_4056	2	19	3935444	4158242	222798	7	5.25	5	0.25	111399	
dlab	dDocent_Contig_22346	dDocent_Contig_74477	2	10	10727089	9579020	1148069	10	32.54	32.81	0.27	574035	
lcal	dDocent_Contig_22346	dDocent_Contig_74477	2	4	14427103	15542751	1115648	10	32.54	32.81	0.27	557824	
lcal	dDocent_Contig_17818	dDocent_Contig_11849	2	9	17622003	17634514	12511	14	8.69	8.97	0.28	6256	
dlab	dDocent_Contig_165900	dDocent_Contig_161242	3	1A	25303421	25965883	662462	1	54.28	54.43	0.3	220821	
lcal	dDocent_Contig_36018	dDocent_Contig_38092	3	24	1109140	1357401	248261	8	20.73	20.88	0.3	82754	
gacu	dDocent_Contig_55735	dDocent_Contig_1884	2	15	5277581	5436097	158516	7	16.25	16.55	0.3	79258	
onil	dDocent_Contig_183753	dDocent_Contig_165900	2	5	21358424	21234622	123802	1	54.58	54.28	0.3	61901	
lcal	dDocent_Contig_558	dDocent_Contig_41885	2	13	15832372	15954534	122162	6	20.6	20.3	0.3	61081	
lcal	dDocent_Contig_183753	dDocent_Contig_165900	2	12	5300025	5408424	108399	1	54.58	54.28	0.3	54200	
onil	dDocent_Contig_22103	dDocent_Contig_15637	2	19	13323614	14958142	1634528	7	1.91	2.22	0.31	817264	
dlab	dDocent_Contig_32115	dDocent_Contig_8145	2	15	5312527	6917069	1604542	13	9.23	8.92	0.31	802271	
onil	dDocent_Contig_95996	dDocent_Contig_29532	5	1	13823737	14860723	1094123	20	30.33	30.02	0.31	218825	
dlab	dDocent_Contig_29532	dDocent_Contig_17991	6	5	11692101	12591380	1058683	20	30.02	30.33	0.31	176447	
lcal	dDocent_Contig_93946	dDocent_Contig_202930	3	15	22648507	23697867	1049360	16	24	24.31	0.31	349787	
dlab	dDocent_Contig_93946	dDocent_Contig_202930	3	16	12424909	13453466	1028557	16	24	24.31	0.31	342852	
lcal	dDocent_Contig_29532	dDocent_Contig_17991	6	2	27559859	28428557	1018359	20	30.02	30.33	0.31	169727	
dlab	dDocent_Contig_376782	dDocent_Contig_20987	3	5	11254798	10509314	1003109	20	28.17	28.32	0.31	334370	
lcal	dDocent_Contig_376782	dDocent_Contig_20987	3	2	27135398	26634652	970084	20	28.17	28.32	0.31	323361	
gacu	dDocent_Contig_93946	dDocent_Contig_83538	3	20	9059879	8277349	914490	16	24	24.31	0.31	304830	
gacu	dDocent_Contig_95996	dDocent_Contig_29532	6	2	12072834	12806323	787155	20	30.33	30.02	0.31	131193	
onil	dDocent_Contig_99714	dDocent_Contig_178579	2	1	880818	1659976	779158	20	65.98	65.67	0.31	389579	
gacu	dDocent_Contig_123765	dDocent_Contig_10430	4	7	26187885	26913645	726365	9	64.01	63.7	0.31	181591	
dlab	dDocent_Contig_99714	dDocent_Contig_178579	2	5	23205811	23904694	698883	20	65.98	65.67	0.31	349442	
trub	dDocent_Contig_9859	dDocent_Contig_43242	2	4	13114611	13804904	690293	2	18.65	18.34	0.31	345147	
lcal	dDocent_Contig_99714	dDocent_Contig_178579	2	2	9304825	9950441	645616	20	65.98	65.67	0.31	322808	
trub	dDocent_Contig_14866	dDocent_Contig_3380	2	7	6109536	6719306	609770	16	11.18	11.49	0.31	304885	
tnig	dDocent_Contig_93946	dDocent_Contig_202930	2	8	6274571	5677087	597484	16	24	24.31	0.31	298742	
trub	dDocent_Contig_100682	dDocent_Contig_349127	2	2	9340180	9825245	485065	7	6.9	6.59	0.31	242533	
onil	dDocent_Contig_219013	dDocent_Contig_331327	2	11	16108517	15644280	464237	16	33.12	33.43	0.31	232119	
dlab	dDocent_Contig_14866	dDocent_Contig_3380	2	16	19247313	18795105	452208	16	11.18	11.49	0.31	226104	
dlab	dDocent_Contig_195456	dDocent_Contig_29774	4	2	15342288	15068110	445126	5	6.23	6.54	0.31	111282	
tnig	dDocent_Contig_207044	dDocent_Contig_39533	3	16	5228395	5574408	346013	3	5.66	5.35	0.31	115338	
trub	dDocent_Contig_207044	dDocent_Contig_39533	3	11	8184168	8528871	344703	3	5.66	5.35	0.31	114901	
gacu	dDocent_Contig_83754	dDocent_Contig_29774	3	4	16428085	16128895	328654	5	6.23	6.54	0.31	109551	
lcal	dDocent_Contig_165474	dDocent_Contig_134963	3	18	4297345	4047273	250072	18	23.11	23.42	0.31	83357	
dlab	dDocent_Contig_15924	dDocent_Contig_34141	2	4	16576210	16806122	229912	12	22.64	22.33	0.31	114956	
dlab	dDocent_Contig_24873	dDocent_Contig_28149	2	17	18230289	18439112	208823	11	64.05	63.74	0.31	104412	
trub	dDocent_Contig_83754	dDocent_Contig_729	2	14	235771	432339	196568	5	6.23	6.54	0.31	98284	
lcal	dDocent_Contig_19189	dDocent_Contig_34693	2	6	23505123	23385170	119953	23	4.63	4.94	0.31	59977	
dlab	dDocent_Contig_21187	dDocent_Contig_114662	2	24	1633206	1747129	113923	21	31.87	32.18	0.31	56962	
lcal	dDocent_Contig_21187	dDocent_Contig_114662	2	7_2	1896196	1793778	102418	21	31.87	32.18	0.31	51209	
lcal	dDocent_Contig_22362	dDocent_Contig_358491	2	24	12980171	13029350	49179	8	42.4	42.71	0.31	24590	
lcal	dDocent_Contig_10387	dDocent_Contig_141966	2	7_2	7380303	7348280	32023	21	36.2	35.89	0.31	16012	
dlab	dDocent_Contig_87834	dDocent_Contig_53830	3	10	20678648	20647680	488319	10	58.07	58.39	0.32	162773	
onil	dDocent_Contig_38257	dDocent_Contig_4163	7	2	4728631	6924915	2196284	5	55.86	56.19	0.33	313755	
dlab	dDocent_Contig_38257	dDocent_Contig_4163	10	2	22033181	24051011	2017830	5	55.86	56.19	0.33	201783	
lcal	dDocent_Contig_4163	dDocent_Contig_38257	12	8	20981357	22925996	1944639	5	56.19	55.86	0.33	162053	
gacu	dDocent_Contig_4163	dDocent_Contig_38257	7	4	2456004	3762108	1306104	5	56.19	55.86	0.33	186586	
onil	dDocent_Contig_38113	dDocent_Contig_6648	3	2	22923670	24222039	1298369	5	14.78	14.45	0.33	432790	
dlab	dDocent_Contig_38113	dDocent_Contig_6648	4	2	12479231	13661358	1182127	5	14.78	14.45	0.33	295532	
tnig	dDocent_Contig_4163	dDocent_Contig_38257	6	20	2278868	3455416	1176548	5	56.19	55.86	0.33	196091	
lcal	dDocent_Contig_17736	dDocent_Contig_2785	6	20	18415346	19560674	1145328	9	40.75	41.08	0.33	190888	
trub	dDocent_Contig_4163	dDocent_Contig_38257	6	14	11125877	12233541	1107664	5	56.19	55.86	0.33	184611	
gacu	dDocent_Contig_38113	dDocent_Contig_6648	2	4	13763656	14844584	1080928	5	14.78	14.45	0.33	540464	
gacu	dDocent_Contig_2268	dDocent_Contig_319646	2	17	7865214	6847411	1017803	1	18.4	18.73	0.33	508902	
dlab	dDocent_Contig_42416	dDocent_Contig_10383	4	14	18782255	19430885	786224	9	41.08	40.85	0.33	196556	
lcal	dDocent_Contig_28835	dDocent_Contig_49245	3	3	15914550	16659239	744689	22	56.43	56.41	0.33	248230	
onil	dDocent_Contig_98083	dDocent_Contig_3011	3	14	24075645	24790174	714529	3	8.76	9.07	0.33	238176	
onil	dDocent_Contig_183196	dDocent_Contig_25536	3	22	13187533	13856150	668617	22	37.83	38	0.33	222872	
dlab	dDocent_Contig_24774	dDocent_Contig_10430	3	14	25279224	25710356	431441	9	63.37	63.7	0.33	143814	
onil	dDocent_Contig_156439	dDocent_Contig_20908	3	7	24004832	24143751	401538	14	36.62	36.95	0.33	133846	
trub	dDocent_Contig_314714	dDocent_Contig_305597	2	10	2012101	2405345	393244	8	29.75	29.42	0.33	196622	
lcal	dDocent_Contig_24774	dDocent_Contig_10430	3	20	3104837	3486111	381583	9	63.37	63.7	0.33	127194	
dlab	dDocent_Contig_98083	dDocent_Contig_3011	3	13	22372664	22706432	333768	3	8.76	9.07	0.33	111256	
lcal	dDocent_Contig_98083	dDocent_Contig_3011	3	21	17453280	17761823	308543	3	8.76	9.07	0.33	102848	
dlab	dDocent_Contig_65255	dDocent_Contig_5234	5	9	14979582	15170830	307021	22	47.96	47.96	0.33	61404	
gacu	dDocent_Contig_98083	dDocent_Contig_3011	3	1	12950768	13220844	270076	3	8.76	9.07	0.33	90025	
lcal	dDocent_Contig_55516	dDocent_Contig_319646	2	12	18692754	18906146	213392	1	18.4	18.73	0.33	106696	
lcal	dDocent_Contig_33630	dDocent_Contig_23434	2	7_2	6257383	6445383	188000	21	35.89	36.22	0.33	94000	
gacu	dDocent_Contig_16131	dDocent_Contig_25488	2	6	5475293	5647111	171818	2	17.32	17.65	0.33	85909	
gacu	dDocent_Contig_241945	dDocent_Contig_69113	4	10	5481543	5583085	101542	22	47.96	47.63	0.33	25386	
dlab	dDocent_Contig_26071	dDocent_Contig_58685	2	x	15546229	15642283	96054	18	69.89	70.22	0.33	48027	
lcal	dDocent_Contig_26071	dDocent_Contig_58685	2	18	11581012	11676081	95069	18	69.89	70.22	0.33	47535	
dlab	dDocent_Contig_267577	dDocent_Contig_60490	2	3	7235717	7279615	43898	17	26.51	26.84	0.33	21949	
gacu	dDocent_Contig_43640	dDocent_Contig_67109	3	8	3861297	5676106	1814809	12	67.41	67.07	0.34	604936	
lcal	dDocent_Contig_359613	dDocent_Contig_213988	3	5	698401	1881227	1182826	4	73.22	73.56	0.34	394275	
lcal	dDocent_Contig_21319	dDocent_Contig_118320	3	4	18896599	19340845	444246	10	20.59	20.25	0.34	148082	
lcal	dDocent_Contig_12674	dDocent_Contig_23830	2	4	19446371	19580565	134194	10	19.91	19.57	0.34	67097	
dlab	dDocent_Contig_109084	dDocent_Contig_213988	2	7	1514777	1562716	47939	4	73.22	73.56	0.34	23970	
lcal	dDocent_Contig_167624	dDocent_Contig_43640	2	17	26796675	26772347	24328	12	67.07	67.41	0.34	12164	
lcal	dDocent_Contig_104302	dDocent_Contig_21226	3	16-22	12904040	13916423	1012383	2	52.43	52.59	0.35	337461	
onil	dDocent_Contig_75304	dDocent_Contig_21226	2	13	25503150	26185041	681891	2	52.24	52.59	0.35	340946	
lcal	dDocent_Contig_17862	dDocent_Contig_18089	4	6	7446457	8618510	1172053	23	44.58	44.22	0.36	293013	
lcal	dDocent_Contig_255676	dDocent_Contig_46718	2	7_2	11019349	11023350	4001	21	42.41	42.77	0.36	2001	
trub	dDocent_Contig_255676	dDocent_Contig_46718	2	8	4671128	4672702	1574	21	42.41	42.77	0.36	787	
dlab	dDocent_Contig_58288	dDocent_Contig_331327	5	16	7658672	8922162	1263490	16	33.8	33.43	0.37	252698	
lcal	dDocent_Contig_58288	dDocent_Contig_331327	5	15	9964558	11204794	1240236	16	33.8	33.43	0.37	248047	
gacu	dDocent_Contig_58288	dDocent_Contig_331327	4	20	11566423	12576173	1009750	16	33.8	33.43	0.37	252438	
onil	dDocent_Contig_190752	dDocent_Contig_44421	2	1	18098413	18411882	313469	20	25.96	26.33	0.37	156735	
dlab	dDocent_Contig_190752	dDocent_Contig_44421	2	5	8875973	8578518	297455	20	25.96	26.33	0.37	148728	
gacu	dDocent_Contig_190752	dDocent_Contig_44421	2	2	14942765	15158088	215323	20	25.96	26.33	0.37	107662	
trub	dDocent_Contig_190752	dDocent_Contig_44421	2	13	4256884	4064611	192273	20	25.96	26.33	0.37	96137	
lcal	dDocent_Contig_19554	dDocent_Contig_186096	2	18	9202026	9164205	37821	18	44.16	44.53	0.37	18911	
dlab	dDocent_Contig_4692	dDocent_Contig_9384	2	15	20321499	20598797	277298	13	50.47	50.09	0.38	138649	
onil	dDocent_Contig_178388	dDocent_Contig_49413	3	13	2423706	3804360	1380654	2	52.22	52.61	0.39	460218	
lcal	dDocent_Contig_190056	dDocent_Contig_272119	3	7_1	7504428	8141307	636879	11	44.22	44.61	0.39	212293	
dlab	dDocent_Contig_190056	dDocent_Contig_272119	3	17	14510691	15140828	630137	11	44.22	44.61	0.39	210046	
lcal	dDocent_Contig_276086	dDocent_Contig_384998	3	13	15051665	15521389	501402	6	21.11	21.22	0.4	167134	
dlab	dDocent_Contig_182167	dDocent_Contig_16645	2	3	12169939	12482603	312664	17	46.54	46.94	0.4	156332	
dlab	dDocent_Contig_13466	dDocent_Contig_150600	3	22-25	16308076	15993457	314619	23	40.88	41.29	0.41	104873	
gacu	dDocent_Contig_13466	dDocent_Contig_150600	3	12	8154806	8419006	264200	23	40.88	41.29	0.41	88067	
dlab	dDocent_Contig_2987	dDocent_Contig_49717	2	20	27719364	26157643	1561721	6	3.8	4.22	0.42	780861	
onil	dDocent_Contig_2987	dDocent_Contig_49717	2	12	2292559	1319937	972622	6	3.8	4.22	0.42	486311	
lcal	dDocent_Contig_306535	dDocent_Contig_250683	3	9	16870233	16783863	86370	14	9.48	9.9	0.42	28790	
lcal	dDocent_Contig_10873	dDocent_Contig_97611	3	15	23828876	25084582	1416288	16	22.75	22.92	0.43	472096	
gacu	dDocent_Contig_52532	dDocent_Contig_97611	2	20	6994428	7117604	123176	16	22.49	22.92	0.43	61588	
lcal	dDocent_Contig_50518	dDocent_Contig_719	2	4	10220321	10321130	100809	10	39	38.57	0.43	50405	
lcal	dDocent_Contig_2987	dDocent_Contig_31144	2	13	21215422	22753680	1538258	6	3.8	3.34	0.46	769129	
dlab	dDocent_Contig_41980	dDocent_Contig_397105	3	20	23892249	24940923	1132069	6	6.58	6.58	0.46	377356	
lcal	dDocent_Contig_41980	dDocent_Contig_397105	3	13	19878554	20790895	988356	6	6.58	6.58	0.46	329452	
lcal	dDocent_Contig_21218	dDocent_Contig_372715	4	21	7719599	8135917	416318	3	27.55	27.7	0.46	104080	
lcal	dDocent_Contig_30074	dDocent_Contig_23998	2	9	17293801	17644090	350289	14	6.81	7.27	0.46	175145	
dlab	dDocent_Contig_21218	dDocent_Contig_372715	4	13	12742915	13077284	334369	3	27.55	27.7	0.46	83592	
gacu	dDocent_Contig_1622	dDocent_Contig_45279	3	15	5092975	5376776	283801	7	16.55	17.01	0.46	94600	
gacu	dDocent_Contig_392531	dDocent_Contig_5386	2	7	985966	1704435	718469	17	59.72	60.19	0.47	359235	
dlab	dDocent_Contig_63898	dDocent_Contig_2388	2	13	21693688	22218782	525094	3	5.66	5.19	0.47	262547	
onil	dDocent_Contig_63898	dDocent_Contig_2388	2	14	23581878	23923897	342019	3	5.66	5.19	0.47	171010	
lcal	dDocent_Contig_63898	dDocent_Contig_2388	2	21	16997847	17307387	309540	3	5.66	5.19	0.47	154770	
gacu	dDocent_Contig_63898	dDocent_Contig_2388	2	1	12535201	12816458	281257	3	5.66	5.19	0.47	140629	
trub	dDocent_Contig_54942	dDocent_Contig_297333	3	17	3648852	3808959	160822	4	37.63	38.1	0.47	53607	
dlab	dDocent_Contig_126711	dDocent_Contig_330040	4	4	1491520	1413585	1042644	12	66.91	67.24	0.5	260661	
lcal	dDocent_Contig_344040	dDocent_Contig_78852	3	13	16129533	16960103	830570	6	19.55	19.81	0.5	276857	
onil	dDocent_Contig_66601	dDocent_Contig_244722	2	19	19761143	19043857	717286	7	10	10.5	0.5	358643	
gacu	dDocent_Contig_66601	dDocent_Contig_122871	2	15	2677510	1963825	713685	7	10	10.5	0.5	356843	
lcal	dDocent_Contig_46457	dDocent_Contig_188751	3	6	14664196	15271081	606885	23	29.7	30.2	0.5	202295	
tnig	dDocent_Contig_49203	dDocent_Contig_4389	2	1	11098423	11698394	599971	12	9.75	10.25	0.5	299986	
trub	dDocent_Contig_159654	dDocent_Contig_126987	2	8	9494204	9004274	489930	17	2	2.5	0.5	244965	
dlab	dDocent_Contig_51600	dDocent_Contig_202990	2	18-21	14998507	15051818	53311	8	61.35	61.86	0.51	26656	
lcal	dDocent_Contig_51600	dDocent_Contig_202990	2	24	17813424	17861226	47802	8	61.35	61.86	0.51	23901	
gacu	dDocent_Contig_182942	dDocent_Contig_3528	2	13	6088506	6210383	121877	6	40.84	40.3	0.54	60939	
gacu	dDocent_Contig_74727	dDocent_Contig_11249	2	12	15934255	15016047	918208	23	10.04	10.6	0.56	459104	
dlab	dDocent_Contig_10414	dDocent_Contig_221942	3	4	13943851	15256702	1312851	12	26.15	26.72	0.57	437617	
lcal	dDocent_Contig_2971	dDocent_Contig_149738	2	1	9037496	7981137	1056359	13	0.83	1.4	0.57	528180	
trub	dDocent_Contig_10414	dDocent_Contig_221942	2	20	7519622	6715049	804573	12	26.15	26.72	0.57	402287	
tnig	dDocent_Contig_10414	dDocent_Contig_221942	2	1	16206615	15439655	766960	12	26.15	26.72	0.57	383480	
trub	dDocent_Contig_360326	dDocent_Contig_15402	2	17	6261663	5314447	947216	4	65.61	66.22	0.61	473608	
gacu	dDocent_Contig_56798	dDocent_Contig_96847	2	18	487827	921531	433704	11	9.31	9.92	0.61	216852	
trub	dDocent_Contig_13164	dDocent_Contig_20310	2	1	10867407	11017209	149802	13	53.81	54.42	0.61	74901	
dlab	dDocent_Contig_243672	dDocent_Contig_169085	4	3	1914958	3027734	1112776	17	3.74	4.36	0.62	278194	
lcal	dDocent_Contig_243672	dDocent_Contig_169085	4	14	1797825	2724808	926983	17	3.74	4.36	0.62	231746	
gacu	dDocent_Contig_9976	dDocent_Contig_374147	2	11	4015654	4729306	713652	19	40.71	41.33	0.62	356826	
tnig	dDocent_Contig_650	dDocent_Contig_337536	2	13	7322027	7861098	539071	24	22.03	22.65	0.62	269536	
trub	dDocent_Contig_650	dDocent_Contig_337536	2	9	8379851	8903278	523427	24	22.03	22.65	0.62	261714	
dlab	dDocent_Contig_74001	dDocent_Contig_39799	4	4	12479933	12934903	454970	12	32.17	31.55	0.62	113743	
onil	dDocent_Contig_37671	dDocent_Contig_75112	2	16	10853707	10438001	415706	13	45.8	46.42	0.62	207853	
trub	dDocent_Contig_12063	dDocent_Contig_114253	3	15	4478343	4068300	410043	9	63.7	64.32	0.62	136681	
gacu	dDocent_Contig_9844	dDocent_Contig_3962	3	11	11899551	12272971	373420	19	29.52	30.14	0.62	124473	
tnig	dDocent_Contig_275327	dDocent_Contig_30705	2	2	5125339	5460655	335316	15	51.18	51.8	0.62	167658	
dlab	dDocent_Contig_9976	dDocent_Contig_31027	2	8	409976	691145	281169	19	40.71	41.33	0.62	140585	
dlab	dDocent_Contig_15402	dDocent_Contig_1065	2	7	27597181	27871979	274798	4	66.22	66.84	0.62	137399	
gacu	dDocent_Contig_650	dDocent_Contig_110765	3	19	12161952	12395169	233217	24	22.03	22.65	0.62	77739	
dlab	dDocent_Contig_26251	dDocent_Contig_313224	3	3	11562668	11332033	231282	17	42.22	42.84	0.62	77094	
lcal	dDocent_Contig_20683	dDocent_Contig_517	2	20	8230080	8445149	215069	9	16.85	17.47	0.62	107535	
trub	dDocent_Contig_199619	dDocent_Contig_85444	2	10	4314298	4421247	106949	8	38.06	38.68	0.62	53475	
gacu	dDocent_Contig_84119	dDocent_Contig_92423	2	1	13954687	14041172	86485	3	5.04	4.42	0.62	43243	
trub	dDocent_Contig_84119	dDocent_Contig_92423	2	11	9127297	9071421	55876	3	5.04	4.42	0.62	27938	
tnig	dDocent_Contig_92423	dDocent_Contig_84119	2	16	6054687	6104837	50150	3	4.42	5.04	0.62	25075	
gacu	dDocent_Contig_8822	dDocent_Contig_355	2	6	16443813	16478507	34694	2	47.61	48.23	0.62	17347	
onil	dDocent_Contig_22755	dDocent_Contig_384346	2	10	3172722	3634222	461500	9	15.29	15.93	0.64	230750	
lcal	dDocent_Contig_22755	dDocent_Contig_384346	2	20	6784485	7180454	395969	9	15.29	15.93	0.64	197985	
dlab	dDocent_Contig_37463	dDocent_Contig_384622	2	10	21853032	21674856	178176	10	56.48	57.12	0.64	89088	
dlab	dDocent_Contig_49203	dDocent_Contig_29713	3	4	22001541	22848935	847394	12	9.75	10.41	0.66	282465	
onil	dDocent_Contig_56538	dDocent_Contig_311739	3	5	33619379	34023925	404546	1	34.5	35.16	0.66	134849	
gacu	dDocent_Contig_165136	dDocent_Contig_157446	3	16	11332193	10756730	880404	13	28.89	29.56	0.67	293468	
gacu	dDocent_Contig_39587	dDocent_Contig_3156	4	15	3613580	4408886	795306	7	5.92	6.59	0.67	198827	
onil	dDocent_Contig_85008	dDocent_Contig_7766	2	14	8118548	7460512	658036	3	26.88	27.55	0.67	329018	
dlab	dDocent_Contig_85008	dDocent_Contig_124556	3	13	12151748	11950423	578950	3	26.88	27.55	0.67	192983	
dlab	dDocent_Contig_35592	dDocent_Contig_1470	4	19	18382001	18958965	576964	14	36.62	37.29	0.67	144241	
lcal	dDocent_Contig_85008	dDocent_Contig_124556	3	21	7140978	6947762	532741	3	26.88	27.55	0.67	177580	
onil	dDocent_Contig_41944	dDocent_Contig_134784	2	4	8957328	9454686	497358	19	46.63	47.3	0.67	248679	
gacu	dDocent_Contig_35592	dDocent_Contig_1470	3	14	9522948	9928337	405389	14	36.62	37.29	0.67	135130	
dlab	dDocent_Contig_225171	dDocent_Contig_15622	5	6	4333144	4720632	387488	24	6.11	6.16	0.67	77498	
gacu	dDocent_Contig_37785	dDocent_Contig_8882	2	20	12305590	11950262	355328	16	31.28	31.95	0.67	177664	
lcal	dDocent_Contig_44316	dDocent_Contig_12382	3	13	17199308	17205849	306243	6	16.47	16.81	0.67	102081	
trub	dDocent_Contig_15622	dDocent_Contig_225171	3	9	7779198	8032739	253541	24	6.16	6.11	0.67	84514	
