locus,map_chr,map_prop,map_pos,dlab_chr,dlab_prop,dlab_pos,poli_chr,poli_prop,poli_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,csem_chr,csem_prop,csem_pos,onil_chr,onil_prop,onil_pos,
dDocent_Contig_66465,1,0.885,57.91,1A,0.860,24978887,1,0.837,23268924,17,0.152,2221798,12,0.205,5716448,,,,,,,11,0.833,17096841,5,0.558,20881154,
dDocent_Contig_89892,18,0.354,25.36,x,0.410,7295568,16,0.655,11244067,4,0.623,20326730,18,0.162,3116186,,,,19,0.770,5600626,8,0.873,26315675,17,0.873,27721568,
dDocent_Contig_643,23,0.083,5.42,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_85534,9,0.124,9.71,,,,20,0.779,17851246,,,,,,,,,,,,,,,,,,,
dDocent_Contig_25822,24,0.000,0,,,,19,0.042,1097895,,,,,,,,,,,,,,,,,,,
dDocent_Contig_314536,15,0.461,34.28,1B,0.530,9532059,4,0.225,4266600,5,0.020,243784,23,0.629,11431585,1,0.171,3979625,,,,8,0.070,2100114,8,0.582,17149563,
dDocent_Contig_165344,16,0.166,11.33,16,0.425,10965587,6,0.250,6156146,,,,15,0.690,21243706,,,,,,,,,,11,0.165,5514167,
dDocent_Contig_69594,4,0.162,12.39,,,,5,0.569,14704401,,,,,,,,,,,,,,,,,,,
dDocent_Contig_28801,1,0.122,7.97,,,,,,,,,,12,0.481,13383425,,,,,,,11,0.486,9978001,5,0.231,8631385,
dDocent_Contig_351298,6,0.093,6.58,,,,23,0.837,24532245,,,,,,,,,,,,,,,,,,,
dDocent_Contig_38929,22,0.498,37.83,,,,22,0.516,10325455,,,,,,,,,,,,,,,,,,,
dDocent_Contig_100755,23,0.718,46.98,22-25,0.747,19741973,17,0.455,11452512,,,,6,0.233,6505240,3,0.115,1503974,,,,10,0.419,8803136,20,0.701,22054293,
dDocent_Contig_46150,18,0.970,69.38,x,0.714,12689889,16,0.104,1777324,,,,18,0.439,8429332,,,,,,,,,,,,,
dDocent_Contig_54764,7,0.104,5.92,,,,8,0.356,5833401,,,,,,,,,,,,,,,,,,,
dDocent_Contig_21681,12,0.162,11.49,4,0.755,20804939,24,0.494,11274981,,,,17,0.236,6538454,,,,,,,,,,,,,
dDocent_Contig_51274,3,0.076,5.19,,,,21,0.890,22515118,,,,21,0.706,20249909,,,,,,,,,,,,,
dDocent_Contig_26839,11,0.141,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_15730,23,0.898,58.74,,,,17,0.054,1349442,,,,,,,,,,,,,,,,,,,
dDocent_Contig_31919,9,0.717,56.27,,,,20,0.222,5083202,,,,20,0.061,1449987,,,,,,,,,,,,,
dDocent_Contig_362062,15,0.538,40.01,,,,4,0.373,7082264,,,,,,,,,,,,,,,,,,,
dDocent_Contig_122156,12,0.318,22.49,,,,24,0.325,7399336,,,,17,0.383,10593328,,,,,,,,,,,,,
dDocent_Contig_324292,19,0.827,47.96,,,,10,0.125,2722052,,,,11,0.798,18590076,,,,,,,,,,,,,
dDocent_Contig_165474,18,0.323,23.11,x,0.357,6339767,16,0.707,12141707,,,,18,0.224,4297345,,,,,,,8,0.900,27128887,,,,
dDocent_Contig_134526,12,0.636,45.05,4,0.008,226289,24,0.970,22113223,,,,17,0.979,27092828,,,,,,,,,,,,,
dDocent_Contig_99398,15,0.826,61.39,,,,4,0.995,18897821,,,,,,,,,,,,,,,,,,,
dDocent_Contig_46718,21,0.665,42.77,24,0.434,6042705,14,0.715,7974698,1,0.717,20216212,7_2,0.792,11023350,8,0.318,4672702,3,0.220,3413296,14,0.284,8206577,,,,
dDocent_Contig_10610,3,0.081,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_88211,19,0.389,22.55,8,0.444,10252198,,,,11,0.489,8169312,11,0.362,8442193,,,,,,,,,,4,0.568,16289232,
dDocent_Contig_156439,14,0.688,36.62,19,0.803,18632028,13,0.207,4102208,14,0.637,9717342,9,0.279,6409352,,,,,,,14,0.912,26303183,7,0.470,24004832,
dDocent_Contig_2785,9,0.523,41.08,14,0.657,18644661,20,0.265,6067717,7,0.672,18771323,20,0.823,19560674,15,0.610,7027921,7,0.690,8068177,,,,,,,
dDocent_Contig_118958,24,0.863,55.79,,,,19,0.996,26287257,,,,,,,,,,,,,,,,,,,
dDocent_Contig_9708,11,0.383,25.25,,,,2,0.733,15026375,,,,,,,,,,,,,,,,,,,
dDocent_Contig_396470,24,0.346,22.34,6,0.470,13240367,19,0.449,11862516,19,0.366,7409391,10,0.371,10361594,9,0.947,13178768,13,0.887,11804031,6,0.866,16319281,13,0.853,27979179,
dDocent_Contig_107765,16,0.010,0.67,16,0.784,20254722,6,0.921,22677907,,,,15,0.985,30315523,,,,,,,,,,11,0.249,8316283,
dDocent_Contig_368549,22,0.498,37.83,,,,22,0.519,10369659,,,,,,,,,,,,,,,,,,,
dDocent_Contig_5386,17,0.990,60.19,14,0.113,3201716,9,0.909,13505406,7,0.061,1704435,14,0.778,10949029,,,,,,,1,0.593,20483575,,,,
dDocent_Contig_36898,4,0.085,6.5,7,0.234,6667778,5,0.635,16410187,9,0.608,12305382,5,0.892,25841361,17,0.003,32946,,,,9,0.870,17069501,6,0.860,31576725,
dDocent_Contig_319839,15,0.636,47.32,,,,4,0.762,14462163,,,,,,,,,,,,,,,,,,,
dDocent_Contig_2654,6,0.232,16.48,20,0.280,7965443,23,0.631,18504106,13,0.608,12213813,13,0.534,14551627,,,,,,,Z,0.732,16046381,12,0.325,11254039,
dDocent_Contig_12441,8,0.336,24.37,,,,,,,,,,,,,,,,,,,,,,16,0.854,29781054,
dDocent_Contig_19101,13,0.134,8.61,15,0.284,7255639,15,0.932,22175413,16,0.803,14539159,1,0.453,11634438,,,,,,,16,0.973,18271543,16,0.821,28645098,
dDocent_Contig_2201,20,0.752,52.65,5,0.744,24270258,7,0.903,26673430,,,,2,0.338,10288286,13,0.559,9480707,5,0.857,11473223,5,0.341,6583245,1,0.066,2045250,
dDocent_Contig_220558,17,0.051,3.12,,,,9,0.155,2303689,,,,,,,,,,,,,,,,,,,
dDocent_Contig_93057,24,0.758,49,6,0.774,21801784,,,,19,0.489,9890404,10,0.028,776611,18,0.754,6075332,,,,6,0.324,6109228,17,0.847,26877148,
dDocent_Contig_7736,17,0.358,21.77,3,0.442,5939609,9,0.550,8178166,,,,14,0.420,5915995,,,,,,,1,0.576,19884088,3,0.286,5519194,
dDocent_Contig_160109,5,0.729,48.64,,,,12,0.457,11741638,,,,,,,,,,,,,,,,,,,
dDocent_Contig_363947,8,0.678,49.2,18-21,0.752,12378417,18,0.492,9560211,,,,24,0.822,16292014,,,,,,,,,,,,,
dDocent_Contig_13302,15,0.641,47.65,1B,0.316,5694772,4,0.391,7415127,5,0.843,10325621,23,0.428,7774898,1,0.351,8169118,2,0.340,7351534,,,,,,,
dDocent_Contig_184007,11,0.232,15.29,,,,2,0.109,2227372,,,,,,,,,,,,,,,,,,,
dDocent_Contig_2583,11,0.676,44.61,17,0.659,15088473,2,0.523,10710038,18,0.594,9675688,7_1,0.348,8098103,,,,,,,7,0.415,5726457,15,0.020,520452,
dDocent_Contig_79417,6,0.038,2.69,1A,0.405,11766516,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_367430,9,0.556,43.64,14,0.703,19959406,20,0.317,7255723,7,0.836,23352241,20,0.769,18276581,15,0.452,5209089,,,,19,0.569,10103192,,,,
dDocent_Contig_4692,13,0.784,50.47,15,0.795,20321499,15,0.313,7442049,,,,1,0.275,7061387,1,0.951,22122632,2,0.947,20453009,,,,16,0.260,9059779,
dDocent_Contig_61318,9,0.575,45.18,14,0.738,20948181,,,,7,0.859,24001822,20,0.730,17331808,15,0.499,5745871,,,,19,0.628,11151138,,,,
dDocent_Contig_60338,7,0.537,30.69,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_326304,8,0.859,62.35,18-21,0.813,13377329,18,0.982,19057566,21,0.943,11055096,24,0.778,15409348,10,0.792,7226687,,,,,,,9,0.827,17327423,
dDocent_Contig_18330,11,0.212,13.99,17,0.167,3812519,,,,18,0.068,1102691,,,,16,0.011,114268,14,0.117,1196809,13,0.989,21690428,15,0.980,26153754,
dDocent_Contig_2125,13,0.468,30.14,15,0.518,13233936,15,0.494,11745759,16,0.554,10034058,1,0.701,18016636,1,0.655,15224807,2,0.631,13620790,16,0.333,6250676,16,0.455,15879713,
dDocent_Contig_10429,21,0.526,33.87,24,0.498,6927516,14,0.773,8617654,1,0.740,20863996,7_2,0.776,10793703,8,0.282,4142649,,,,14,0.544,15705318,,,,
dDocent_Contig_96081,13,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_185066,18,0.032,2.27,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_6154,4,0.664,50.65,7,0.792,22570086,5,0.263,6794890,,,,5,0.250,7244927,,,,,,,,,,,,,
dDocent_Contig_16582,8,0.678,49.2,,,,18,0.442,8574645,,,,24,0.725,14367534,,,,,,,,,,,,,
dDocent_Contig_300903,13,0.272,17.53,,,,,,,,,,,,,,,,,,,,,,16,0.833,29068957,
dDocent_Contig_176482,7,0.253,14.44,12,0.446,10360317,8,0.853,13965203,15,0.289,4682309,19,0.437,10707184,2,0.665,7591367,10,0.390,5175639,1,0.167,5777051,19,0.009,255811,
dDocent_Contig_22381,9,0.387,30.35,14,0.476,13505541,20,0.587,13443100,,,,20,0.542,12873203,,,,,,,,,,,,,
dDocent_Contig_17120,3,0.746,50.66,,,,21,0.164,4150788,,,,,,,,,,,,,,,,,,,
dDocent_Contig_269535,20,0.447,31.26,5,0.393,12809425,7,0.150,4441849,2,0.514,11984222,2,0.942,28637058,,,,,,,,,,,,,
dDocent_Contig_69880,13,0.975,62.77,,,,15,0.030,721069,,,,1,0.073,1863672,,,,,,,,,,,,,
dDocent_Contig_37810,19,0.000,0,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_61661,1,0.727,47.61,,,,1,0.824,22924276,,,,12,0.219,6094837,,,,,,,,,,,,,
dDocent_Contig_7800,13,0.129,8.3,,,,15,0.256,6098452,,,,,,,,,,,,,,,,,,,
dDocent_Contig_74001,12,0.454,32.17,4,0.453,12479933,24,0.775,17676210,8,0.615,11910021,17,0.543,15026478,20,0.642,8607889,1,0.747,17159881,,,,,,,
dDocent_Contig_8032,23,0.858,56.12,,,,17,0.122,3079013,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7040,1,0.147,9.62,1A,0.310,8988692,1,0.421,11719064,,,,,,,,,,,,,,,,,,,
dDocent_Contig_9,1,0.990,64.83,,,,1,0.991,27561122,,,,,,,,,,,,,,,,,,,
dDocent_Contig_239372,13,0.402,25.88,15,0.437,11181026,15,0.772,18375433,,,,1,0.779,20011635,,,,,,,,,,16,0.520,18152865,
dDocent_Contig_32350,11,0.848,55.97,17,0.922,21115001,2,0.895,18340192,18,0.197,3208767,7_1,0.148,3452058,,,,,,,7,0.926,12797091,15,0.508,13558094,
dDocent_Contig_376603,11,0.551,36.34,,,,2,0.615,12592065,,,,,,,,,,,,,,,,,,,
dDocent_Contig_116090,20,0.360,25.21,,,,7,0.491,14505058,,,,,,,,,,,,,,,,,,,
dDocent_Contig_33309,11,1.000,65.97,,,,2,0.825,16897320,,,,,,,,,,,,,,,,,,,
dDocent_Contig_12925,2,0.862,48.53,,,,3,0.523,12143344,,,,,,,,,,,,,,,,,,,
dDocent_Contig_276420,5,0.462,30.83,2,0.191,5002012,12,0.278,7157123,4,0.183,5986313,8,0.608,15750039,14,0.105,1288502,1,0.388,8922681,15,0.405,8144472,2,0.531,13295797,
dDocent_Contig_105970,6,0.948,67.34,,,,23,0.911,26695177,,,,13,0.930,25336264,,,,,,,,,,,,,
dDocent_Contig_297334,6,0.172,12.22,,,,23,0.799,23426382,,,,,,,,,,,,,,,,,,,
dDocent_Contig_144370,7,0.413,23.57,,,,2,0.973,19938992,,,,,,,,,,,,,,,,,,,
dDocent_Contig_109596,24,0.706,45.61,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_7440,15,0.790,58.76,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_197044,22,0.378,28.71,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_54366,3,0.610,41.47,,,,21,0.305,7713708,,,,21,0.105,2998018,,,,,,,,,,,,,
dDocent_Contig_13387,23,0.203,13.27,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_87617,1,0.326,21.36,,,,1,0.578,16067128,,,,,,,,,,,,,,,,,,,
dDocent_Contig_288155,8,0.465,33.78,18-21,0.421,6923468,18,0.242,4692839,21,0.546,6401349,24,0.520,10295092,,,,6,0.380,2667596,3,0.286,4646441,9,0.436,9130795,
dDocent_Contig_301600,14,0.316,16.82,19,0.457,10594235,13,0.366,7233421,14,0.245,3736125,9,0.615,14149558,6,0.395,3720766,4,0.678,6697875,14,0.865,24956891,7,0.324,16562582,
dDocent_Contig_180392,5,0.117,7.78,,,,12,0.612,15727499,,,,8,0.207,5376822,,,,,,,,,,,,,
dDocent_Contig_22210,19,0.220,12.78,,,,10,0.887,19377409,,,,,,,,,,,,,,,,,,,
dDocent_Contig_119372,23,0.640,41.91,22-25,0.630,16655943,17,0.572,14408162,12,0.426,7835601,6,0.335,9362861,3,0.322,4222404,9,0.119,1253193,10,0.084,1774413,20,0.949,29874001,
dDocent_Contig_327203,18,0.384,27.45,,,,16,0.632,10849243,,,,,,,,,,,,,,,,,,,
dDocent_Contig_18636,5,0.399,26.62,2,0.277,7260554,12,0.847,21775018,,,,,,,,,,,,,,,,,,,
dDocent_Contig_28835,22,0.743,56.43,9,0.819,18313152,22,0.239,4777674,,,,3,0.677,15914550,,,,,,,18,0.262,3985444,22,0.103,2726683,
dDocent_Contig_85008,3,0.396,26.88,13,0.440,12151748,21,0.469,11859150,,,,21,0.249,7140978,,,,,,,,,,14,0.237,8118548,
dDocent_Contig_36275,23,0.479,31.35,22-25,0.413,10925093,17,0.958,24142165,,,,6,0.545,15222220,,,,,,,,,,,,,
dDocent_Contig_3502,5,0.837,55.86,,,,12,0.199,5106183,,,,,,,,,,,,,,,,,,,
dDocent_Contig_3410,18,0.972,69.55,,,,16,0.896,15378231,,,,,,,,,,,,,,,,,,,
dDocent_Contig_33630,21,0.558,35.89,24,0.840,11689909,14,0.003,29452,,,,7_2,0.450,6257383,,,,,,,,,,,,,
dDocent_Contig_58600,8,0.633,45.96,,,,18,0.842,16337201,,,,,,,,,,,,,,,,,,,
dDocent_Contig_93987,9,0.300,23.57,,,,20,0.697,15973971,,,,,,,,,,,,,,,,,,,
dDocent_Contig_17818,14,0.163,8.69,19,0.305,7069304,13,0.536,10606372,14,0.098,1492102,9,0.766,17622003,,,,4,0.512,5055540,14,0.679,19576119,7,0.244,12435290,
dDocent_Contig_371259,13,0.134,8.61,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_215355,9,0.794,62.37,14,0.609,17287607,20,0.380,8709453,7,0.711,19849746,20,0.868,20623396,,,,,,,19,0.593,10526913,,,,
dDocent_Contig_59202,16,1.000,68.23,,,,6,0.347,8535514,,,,15,0.072,2207167,,,,,,,,,,,,,
dDocent_Contig_21675,5,0.330,22.01,,,,,,,,,,,,,,,,1,0.358,8232783,,,,,,,
dDocent_Contig_378878,16,1.000,68.23,,,,6,0.319,7851903,20,0.008,159414,15,0.032,998778,7,0.263,3765883,,,,13,0.158,3463231,11,0.877,29317959,
dDocent_Contig_14694,3,0.828,56.24,,,,21,0.124,3133212,,,,,,,,,,,,,,,,,,,
dDocent_Contig_112837,1,0.883,57.77,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_68316,7,0.884,50.49,,,,8,0.081,1332328,,,,,,,,,,,,,,,,,,,
dDocent_Contig_86033,11,0.383,25.25,,,,2,0.757,15514400,,,,,,,,,,,,,,,,,,,
dDocent_Contig_22046,24,0.455,29.43,6,0.539,15204777,19,0.686,18116339,19,0.291,5884793,10,0.302,8446511,9,0.814,11331028,13,0.759,10094223,6,0.576,10851158,13,0.920,30179585,
dDocent_Contig_10075,22,0.089,6.78,,,,22,0.882,17639664,,,,,,,,,,,,,,,,,,,
dDocent_Contig_202990,8,0.852,61.86,18-21,0.915,15051818,18,0.916,17790217,,,,24,0.902,17861226,,,,,,,,,,,,,
dDocent_Contig_187281,11,0.102,6.76,17,0.035,806344,2,0.347,7101426,18,0.217,3530648,7_1,0.899,20906700,,,,,,,,,,,,,
dDocent_Contig_3405,21,0.824,53.02,24,0.031,433038,14,0.928,10345624,1,0.983,27698555,7_2,0.080,1117263,8,0.445,6535822,3,0.100,1554157,14,0.446,12867211,23,0.084,1739953,
dDocent_Contig_16131,2,0.308,17.32,11,0.227,5952094,3,0.685,15889689,6,0.320,5475293,16-22,0.161,4161638,,,,,,,12,0.493,9071080,13,0.443,14524122,
dDocent_Contig_4216,18,0.117,8.34,,,,16,0.342,5863893,,,,18,0.811,15566232,,,,,,,,,,,,,
dDocent_Contig_263524,7,0.297,16.98,12,0.475,11031632,8,0.810,13255905,15,0.323,5232456,19,0.464,11382776,,,,,,,1,0.143,4932404,19,0.041,1103600,
dDocent_Contig_206879,18,0.150,10.72,,,,16,0.789,13533547,,,,,,,,,,,,,,,,,,,
dDocent_Contig_16839,11,0.018,1.16,7,0.104,2970003,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_329651,2,0.224,12.59,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_183753,1,0.834,54.58,1A,0.875,25418463,1,0.852,23708621,17,0.130,1905072,12,0.190,5300025,,,,,,,11,0.854,17522919,5,0.571,21358424,
dDocent_Contig_1912,17,0.066,4.03,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_5145,19,0.627,36.36,8,0.025,579832,10,0.173,3777605,,,,11,0.742,17276067,,,,,,,,,,4,0.281,8051951,
dDocent_Contig_6955,15,0.501,37.23,,,,,,,,,,,,,4,0.232,3209066,17,0.996,12082897,8,0.083,2508642,8,0.677,19938648,
dDocent_Contig_164095,22,0.636,48.29,,,,22,0.315,6302683,,,,,,,,,,,,,,,,,,,
dDocent_Contig_280139,13,0.500,32.15,15,0.579,14809634,15,0.665,15826341,,,,1,0.639,16433730,,,,,,,16,0.495,9293827,,,,
dDocent_Contig_14518,12,0.559,39.6,,,,24,0.155,3535643,,,,,,,,,,,,,,,,,,,
dDocent_Contig_277312,19,0.406,23.55,8,0.388,8960589,10,0.384,8387505,,,,11,0.417,9719661,,,,,,,,,,,,,
dDocent_Contig_25110,24,0.440,28.43,6,0.483,13620680,19,0.437,11524648,19,0.379,7677412,10,0.359,10018527,9,0.949,13205561,13,0.889,11827991,6,0.882,16617715,13,0.867,28419295,
dDocent_Contig_399803,23,0.858,56.12,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_77061,4,0.311,23.71,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_9191,13,0.257,16.56,,,,15,0.916,21803158,,,,,,,,,,,,,,,,,,,
dDocent_Contig_12218,2,0.220,12.38,,,,3,0.220,5096635,,,,,,,,,,,,,,,,,,,
dDocent_Contig_17281,7,0.000,0,,,,8,0.958,15682223,,,,21,0.973,27893967,,,,,,,,,,,,,
dDocent_Contig_125713,19,0.239,13.87,,,,10,0.635,13883165,,,,11,0.234,5447064,,,,,,,,,,,,,
dDocent_Contig_13393,19,0.650,37.71,8,0.156,3597934,10,0.216,4711288,11,0.301,5020175,,,,5,0.300,3655225,,,,,,,,,,
dDocent_Contig_18927,9,0.404,31.75,,,,20,0.566,12966339,,,,20,0.562,13361013,,,,,,,,,,,,,
dDocent_Contig_35439,6,0.708,50.31,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_10459,11,0.251,16.59,17,0.241,5510572,2,0.097,1989890,,,,7_1,0.747,17371802,16,0.281,2900179,14,0.826,8460231,,,,15,0.901,24029825,
dDocent_Contig_162769,8,0.179,12.96,10,0.879,21144043,,,,,,,24,0.193,3833182,22,0.940,10918276,15,0.201,1468711,,,,,,,
dDocent_Contig_52162,1,0.241,15.8,1A,0.413,11978033,1,0.314,8723937,,,,12,0.652,18140265,,,,,,,11,0.288,5904470,5,0.374,13978532,
dDocent_Contig_4588,5,0.012,0.770000000000002,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_12108,20,0.296,20.72,5,0.121,3943565,7,0.406,12008741,,,,2,0.641,19494367,,,,,,,5,0.862,16613785,1,0.759,23675758,
dDocent_Contig_94604,4,0.575,43.84,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_19061,15,0.276,20.52,,,,,,,5,0.761,9324833,,,,1,0.391,9085763,2,0.365,7890006,,,,,,,
dDocent_Contig_20418,3,0.376,25.53,13,0.462,12762021,,,,1,0.207,5829063,21,0.270,7737527,,,,,,,,,,14,0.219,7490004,
dDocent_Contig_13057,14,0.348,18.53,19,0.495,11488203,13,0.324,6410053,14,0.286,4354695,9,0.577,13270715,6,0.344,3239971,4,0.765,7552595,14,0.830,23949592,7,0.346,17680939,
dDocent_Contig_305441,10,0.909,59.85,10,0.927,22308154,11,0.672,15294804,,,,4,0.123,3129044,,,,,,,,,,,,,
dDocent_Contig_192508,15,0.538,40.01,,,,4,0.385,7303801,,,,,,,,,,,,,,,,,,,
dDocent_Contig_95435,1,0.473,30.97,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_325432,5,0.627,41.85,,,,12,0.395,10149880,,,,8,0.738,19132435,,,,,,,,,,,,,
dDocent_Contig_27733,22,0.706,53.6,,,,22,0.015,291962,,,,,,,,,,,,,,,,,,,
dDocent_Contig_13705,6,0.456,32.38,20,0.149,4239491,23,0.337,9890143,13,0.462,9281754,13,0.402,10946453,21,0.655,9754119,12,0.487,6144160,Z,0.003,58733,12,0.444,15398186,
dDocent_Contig_69240,1,0.473,30.97,,,,1,0.108,2998797,,,,,,,,,,,,,,,,,,,
dDocent_Contig_30705,15,0.697,51.8,1B,0.148,2656506,4,0.723,13724746,5,0.478,5861836,23,0.182,3299096,1,0.264,6145431,2,0.253,5460655,8,0.406,12241580,8,0.273,8028649,
dDocent_Contig_84423,6,0.341,24.26,20,0.265,7512241,23,0.616,18066134,13,0.591,11874380,13,0.518,14108350,,,,12,0.067,840859,Z,0.858,18804699,12,0.338,11729920,
dDocent_Contig_27794,16,0.742,50.65,16,0.032,817747,6,0.407,10012026,,,,15,0.098,3013777,,,,,,,13,0.653,14304697,11,0.802,26815902,
dDocent_Contig_344040,6,0.275,19.55,20,0.071,2003770,23,0.688,20172389,,,,13,0.592,16129533,,,,,,,,,,,,,
dDocent_Contig_63932,10,0.546,35.97,,,,,,,3,0.095,1588472,,,,,,,16,0.786,7100219,,,,18,0.416,10897238,
dDocent_Contig_197543,8,0.368,26.72,18-21,0.240,3955424,18,0.088,1712144,,,,24,0.367,7274399,,,,,,,3,0.243,3948000,9,0.283,5920652,
dDocent_Contig_275327,15,0.688,51.18,1B,0.104,1870618,4,0.755,14330525,,,,23,0.149,2710182,1,0.247,5752428,2,0.237,5125339,8,0.419,12640555,8,0.191,5617740,
dDocent_Contig_28647,2,0.337,18.96,11,0.250,6556222,3,0.711,16509583,6,0.352,6014717,16-22,0.183,4736801,4,0.949,13112662,17,0.255,3095653,12,0.682,12546299,13,0.464,15201115,
dDocent_Contig_8131,23,0.858,56.12,22-25,0.863,22826402,17,0.126,3185932,12,0.195,3593427,,,,,,,,,,10,0.218,4572505,20,0.607,19114903,
dDocent_Contig_32550,19,0.129,7.48999999999999,8,0.755,17415188,10,0.728,15906752,,,,11,0.092,2149221,,,,,,,,,,,,,
dDocent_Contig_16173,7,0.480,27.4,12,0.649,15083294,,,,,,,19,0.630,15450978,,,,,,,1,0.350,12076378,19,0.185,5028879,
dDocent_Contig_137371,13,0.538,34.63,15,0.596,15235648,15,0.682,16233447,16,0.465,8431013,1,0.624,16047726,1,0.591,13747523,2,0.567,12244318,16,0.600,11273233,,,,
dDocent_Contig_280097,9,0.536,42.05,,,,20,0.305,6984484,,,,20,0.782,18572278,,,,,,,,,,,,,
dDocent_Contig_336119,4,0.469,35.77,7,0.596,16978646,,,,9,0.062,1254261,5,0.536,15532694,,,,18,0.061,679059,9,0.421,8249970,6,0.479,17594293,
dDocent_Contig_78438,5,0.012,0.770000000000002,,,,12,0.897,23055522,4,0.838,27337087,,,,,,,,,,,,,,,,
dDocent_Contig_165136,13,0.449,28.89,15,0.453,11577758,15,0.756,17982174,16,0.626,11332193,1,0.764,19640981,1,0.699,16269371,2,0.678,14638778,16,0.667,12526824,16,0.508,17732313,
dDocent_Contig_8986,17,0.827,50.26,,,,9,0.849,12622905,,,,,,,,,,,,,,,,,,,
dDocent_Contig_11878,4,0.064,4.9,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_201958,13,0.937,60.32,15,0.898,22953934,15,0.110,2612262,,,,1,0.144,3706289,,,,,,,,,,,,,
dDocent_Contig_38654,1,0.832,54.43,,,,1,0.780,21683965,,,,,,,,,,,,,,,,,,,
dDocent_Contig_93641,3,0.131,8.91,13,0.860,23765649,21,0.951,24062195,1,0.500,14083518,21,0.656,18804038,11,0.805,9052865,16,0.669,6039376,4,0.616,12320448,14,0.757,25878728,
dDocent_Contig_16852,1,0.212,13.88,,,,1,0.403,11196271,,,,,,,,,,,,,,,,,,,
dDocent_Contig_2517,2,0.011,0.62,,,,3,0.027,622889,,,,,,,,,,,,,,,,,,,
dDocent_Contig_21593,22,0.110,8.34,9,0.245,5475663,22,0.841,16816148,,,,3,0.146,3424072,,,,21,0.998,5824042,,,,22,0.645,17042466,
dDocent_Contig_22268,1,0.391,25.59,,,,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_309855,6,0.246,17.47,20,0.053,1497511,23,0.705,20645955,13,0.696,13970515,13,0.609,16584086,,,,,,,,,,12,0.254,8803444,
dDocent_Contig_312952,13,0.022,1.4,,,,15,0.297,7056561,,,,,,,,,,,,,,,,,,,
dDocent_Contig_359613,4,0.960,73.22,,,,5,0.947,24487488,9,0.929,18820453,5,0.024,698401,17,0.398,4448037,,,,9,0.164,3214123,6,0.958,35195446,
dDocent_Contig_39782,3,0.859,58.36,,,,21,0.027,685414,,,,,,,,,,,,,,,,,,,
dDocent_Contig_49041,1,0.885,57.91,x,0.716,12736054,,,,,,,,,,,,,,,,,,,,,,
dDocent_Contig_128564,13,0.356,22.88,,,,15,0.851,20254168,,,,,,,,,,,,,,,,,,,
dDocent_Contig_172365,3,0.640,43.48,13,0.270,7451565,21,0.235,5957932,,,,21,0.786,22543664,,,,,,,,,,,,,
dDocent_Contig_134963,18,0.327,23.42,x,0.373,6633101,16,0.692,11871414,4,0.638,20820152,18,0.211,4047273,,,,19,0.812,5905133,8,0.892,26900448,17,0.899,28548485,
dDocent_Contig_65968,1,0.222,14.56,,,,1,0.378,10504902,,,,12,0.588,16359580,,,,,,,,,,,,,
dDocent_Contig_343567,16,1.000,68.23,,,,6,0.347,8544217,,,,15,0.071,2196633,,,,,,,,,,,,,
dDocent_Contig_256757,3,0.170,11.54,13,0.770,21259016,21,0.806,20393382,1,0.432,12173603,21,0.575,16498709,,,,,,,,,,,,,
dDocent_Contig_125275,13,0.522,33.62,,,,15,0.659,15685596,,,,,,,,,,3,0.160,2474716,,,,2,0.942,23594674,
dDocent_Contig_105803,11,0.968,63.89,,,,2,0.457,9370064,,,,,,,,,,,,,,,,,,,
