CONTIG_ID	ACCESSION	GENE_ID	GO_PROCESS	STUDY	CONTEXT
Contig480	DV567552	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV567552	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig647	DV567560	angiotensinogen precursor		Larsen_2007	HIGH_LOW_SALINITY
Contig647	DV567560	angiotensinogen precursor		Larsen_2007	NTHSEA_HILOW
Contig75	DV567588	hypothetical protein XP_679282		Larsen_2007	NTHSEA_BALTIC
PfIL249C03	DV567613	small inducible cytokine	immune response; chemotaxis; signal transduction;	Larsen_2007	HIGH_LOW_SALINITY
PfIL249C05	DV567614	none		Larsen_2007	NTHSEA_BALTIC
Contig480	DV567620	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV567620	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
PfIL249F10	DV567640	none		Larsen_2007	NTHSEA_BALTIC
PfIL249H11	DV567650	RIKEN cDNA 3930401E15 sim to transmembrane emp24 protein transport domain containing 7		Larsen_2007	NTHSEA_BALTIC
Contig964	DV567660	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV567660	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
PfIL250C06	DV567665	none		Larsen_2007	HIGH_LOW_SALINITY
PfIL250C06	DV567665	none		Larsen_2007	NTHSEA_HILOW
Contig997	DV567667	SWAN RNA binding motif protein 12		Larsen_2007	NTHSEA_BALTIC
Contig641	DV567677	"splicing factor, arginine/serine-rich 2 (SC-35)"		Larsen_2007	BALTIC_HILOW
PfIL250G01	DV567686	HsKin17 protein		Larsen_2007	NTHSEA_BALTIC
Contig145	DV567688	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	HIGH_LOW_SALINITY
Contig145	DV567688	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	NTHSEA_HILOW
PfIL250H05	DV567694	none		Larsen_2007	NTHSEA_HILOW
Contig752	DV567697	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
Contig413	DV567699	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig925	DV567704	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV567704	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
PfIL251B08	DV567707	none		Larsen_2007	NTHSEA_BALTIC
Contig16	DV567720	phospholipid hydroperoxide glutathione peroxidase A	phospholipid metabolism; glutathione metabolism; peroxidase reaction; response to oxidative stress;	Larsen_2007	BALTIC_HILOW
PfIL251E01	DV567724	UXT protein	protein folding;	Larsen_2007	NTHSEA_BALTIC
Contig284	DV567731	Eukaryotic translation initiation factor 4A		Larsen_2007	NTHSEA_BALTIC
PfIL251G11	DV567743	Alpha-N-acetylgalactosaminidase	globoside metabolism; carbohydrate metabolism;	Larsen_2007	NTHSEA_BALTIC
PfIL251G11	DV567743	Alpha-N-acetylgalactosaminidase	globoside metabolism; carbohydrate metabolism;	Larsen_2007	NTHSEA_HILOW
Contig646	DV567745	unnamed protein product CAG02268		Larsen_2007	NTHSEA_BALTIC
Contig647	DV567747	angiotensinogen precursor		Larsen_2007	HIGH_LOW_SALINITY
Contig647	DV567747	angiotensinogen precursor		Larsen_2007	NTHSEA_HILOW
Contig905	DV567753	nucleolin		Larsen_2007	NTHSEA_BALTIC
Contig669	DV567777	none		Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV567780	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV567780	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig1110	DV567788	none		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV567793	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL253C06	DV567810	none		Larsen_2007	NTHSEA_BALTIC
Contig653	DV567820	Chronic myelogenous leukemia tumor antigen 66		Larsen_2007	NTHSEA_HILOW
Contig694	DV567835	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV567835	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
PfIL253H06	DV567836	none		Larsen_2007	NTHSEA_BALTIC
PfIL254F12	DV567874	Microsomal glutathione S-transferase 1	glutathione metabolism; glutathione conjugation reaction;	Larsen_2007	NTHSEA_BALTIC
Contig662	DV567896	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
Contig653	DV567912	Chronic myelogenous leukemia tumor antigen 66		Larsen_2007	NTHSEA_HILOW
Contig41	DV567913	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig343	DV567917	mitochondrial ribosomal protein S18C		Larsen_2007	NTHSEA_BALTIC
PfIL255F08	DV567922	none		Larsen_2007	NTHSEA_BALTIC
Contig112	DV567940	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig669	DV567953	none		Larsen_2007	HIGH_LOW_SALINITY
Contig670	DV567958	Ependymin		Larsen_2007	NTHSEA_BALTIC
Contig836	DV567967	JFConA942Fsimilar to mouse Sulfated glycoprotein		Larsen_2007	NTHSEA_HILOW
Contig925	DV567970	unnamed protein product CAG03272		Larsen_2007	HIGH_LOW_SALINITY
Contig925	DV567970	unnamed protein product CAG03272		Larsen_2007	NTHSEA_HILOW
Contig396	DV567978	complement control protein factor I-B		Larsen_2007	NTHSEA_HILOW
Contig413	DV567979	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
PfIL257A11	DV567982	Siah-interacting protein (Sip-prov)		Larsen_2007	HIGH_LOW_SALINITY
Contig670	DV568001	Ependymin		Larsen_2007	NTHSEA_BALTIC
Contig480	DV568006	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV568006	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
PfIL257G07	DV568013	up050 similar to PTPRJ		Larsen_2007	NTHSEA_BALTIC
PfIL257H03	DV568017	Tnfa-induced adipose-related protein	fat cell differentiation; electron transport;	Larsen_2007	NTHSEA_BALTIC
PfIL258B11	DV568036	Inhibitor of DNA binding 2	negative regulation of transcription factor activity; development; negative regulation of transcription;	Larsen_2007	NTHSEA_BALTIC
Contig167	DV568047	cDNA clone CNB74-B11		Larsen_2007	NTHSEA_BALTIC
Contig284	DV568053	Eukaryotic translation initiation factor 4A		Larsen_2007	NTHSEA_BALTIC
Contig428	DV568055	cDNA clone PfBAX-o4		Larsen_2007	NTHSEA_BALTIC
Contig893	DV568068	"Fatty acyl-CoA hydrolase precursor, medium chain"		Larsen_2007	NTHSEA_BALTIC
Contig662	DV568077	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
Contig342	DV568082	Tnfa-induced adipose-related protein		Larsen_2007	NTHSEA_BALTIC
Contig662	DV568092	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
PfIL259C12	DV568093	none		Larsen_2007	NTHSEA_BALTIC
Contig41	DV568102	Lysozyme c		Larsen_2007	NTHSEA_HILOW
PfIL259F08	DV568113	none		Larsen_2007	NTHSEA_BALTIC
Contig343	DV568116	mitochondrial ribosomal protein S18C		Larsen_2007	NTHSEA_BALTIC
Contig867	DV568119	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig964	DV568131	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV568131	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
Contig112	DV568143	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
PfIL260C08	DV568150	"Glutathione S-transferase, theta 3"	glutathione metabolism; glutathione conjugation reaction;	Larsen_2007	BALTIC_HILOW
Contig683	DV568153	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig338	DV568154	Hepcidin precursor		Larsen_2007	NTHSEA_BALTIC
Contig338	DV568154	Hepcidin precursor		Larsen_2007	NTHSEA_HILOW
PfIL260F08	DV568161	Zgc:73247 protein		Larsen_2007	NTHSEA_BALTIC
PfIL260H04	DV568176	"cDNA clone no536a07 sim to selenoprotein P, plasma, 1a"		Larsen_2007	NTHSEA_BALTIC
Contig1018	DV568204	Prostaglandin D synthase		Larsen_2007	NTHSEA_HILOW
Contig683	DV568243	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig647	DV568247	angiotensinogen precursor		Larsen_2007	HIGH_LOW_SALINITY
Contig647	DV568247	angiotensinogen precursor		Larsen_2007	NTHSEA_HILOW
Contig525	DV568249	UDP-glucuronosyltransferase (UGT3 gene)		Larsen_2007	HIGH_LOW_SALINITY
Contig923	DV568265	cDNA clone HKC069		Larsen_2007	NTHSEA_BALTIC
PfIL263B08	DV568273	none		Larsen_2007	NTHSEA_BALTIC
Contig749	DV568276	Translocon-associated protein beta		Larsen_2007	NTHSEA_BALTIC
Contig145	DV568279	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	HIGH_LOW_SALINITY
Contig145	DV568279	"3-hydroxyanthranilate 3,4-dioxygenase 3-HAO"		Larsen_2007	NTHSEA_HILOW
PfIL264C06	DV568323	none		Larsen_2007	NTHSEA_BALTIC
Contig953	DV568357	Putative complement factor Bf/C2		Larsen_2007	HIGH_LOW_SALINITY
Contig953	DV568357	Putative complement factor Bf/C2		Larsen_2007	NTHSEA_HILOW
Contig1018	DV568407	Prostaglandin D synthase		Larsen_2007	NTHSEA_HILOW
Contig41	DV568410	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig413	DV568429	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig413	DV568439	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
PfIL267D02	DV568456	none		Larsen_2007	NTHSEA_HILOW
Contig694	DV568457	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
Contig694	DV568457	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	NTHSEA_HILOW
Contig1013	DV568472	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL268B07	DV568482	60S acidic ribosomal protein P0 (L10E)	ribosome biogenesis and assembly; translational elongation;	Larsen_2007	NTHSEA_BALTIC
Contig480	DV568516	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV568516	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig878	DV568539	gamma-filamin		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV568573	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL271G06	DV568614	cDNA clone OU-122		Larsen_2007	HIGH_LOW_SALINITY
PfIL271G06	DV568614	cDNA clone OU-122		Larsen_2007	NTHSEA_HILOW
Contig756	DV568642	D-dopachrome tautomerase		Larsen_2007	HIGH_LOW_SALINITY
PfIL272G08	DV568644	cDNA clone HKC065		Larsen_2007	NTHSEA_BALTIC
Contig19	DV568659	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV568659	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig19	DV568676	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV568676	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig332	DV568688	cDNA clone BR2E8		Larsen_2007	NTHSEA_BALTIC
Contig409	DV568702	hypothetical protein LOC57128		Larsen_2007	NTHSEA_BALTIC
PfIL274C08	DV568709	none		Larsen_2007	BALTIC_HILOW
Contig112	DV568711	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig774	DV568715	MHC II invariant chain	cellular metabolism; regulation of cellular physiological process; primary metabolism; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig480	DV568729	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV568729	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig752	DV568739	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
PfIL275E06	DV568752	Nipsnap homolog 3A		Larsen_2007	BALTIC_HILOW
Contig63	DV568773	none		Larsen_2007	NTHSEA_BALTIC
Contig533	DV568783	complement component C9	cytolysis;	Larsen_2007	NTHSEA_BALTIC
PfIL277F08	DV568839	none		Larsen_2007	NTHSEA_BALTIC
Contig112	DV568854	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig877	DV568874	biliverdin reductase B (flavin reductase (NADPH))	chlorophyll metabolism;	Larsen_2007	NTHSEA_BALTIC
Contig670	DV568921	Ependymin		Larsen_2007	NTHSEA_BALTIC
Contig19	DV568938	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV568938	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig413	DV568957	MASP protease / haptoglobin	physiological process;	Larsen_2007	NTHSEA_HILOW
Contig364	DV568964	"Translocon associated protein, gamma subunit"	cotranslational protein-membrane targeting;	Larsen_2007	NTHSEA_BALTIC
Contig445	DV569015	cDNA clone JFConA705F		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV569018	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig41	DV569038	Lysozyme c		Larsen_2007	NTHSEA_HILOW
PfIL272D02	DV569048	none		Larsen_2007	NTHSEA_BALTIC
PfIL272D02	DV569048	none		Larsen_2007	NTHSEA_HILOW
PfIL284E07	DV569058	none		Larsen_2007	NTHSEA_BALTIC
PfIL284H08	DV569075	mAJor histocompatibility class I receptor	"signal transduction; antigen presentation, endogenous antigen; antigen processing, endogenous antigen via MHC class I;"	Larsen_2007	NTHSEA_BALTIC
Contig480	DV569118	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV569118	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
PfIL286A09	DV569120	Mitochondrial ribosomal protein L3	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	HIGH_LOW_SALINITY
PfIL286E08	DV569141	none		Larsen_2007	NTHSEA_BALTIC
PfIL286H12	DV569156	none		Larsen_2007	NTHSEA_BALTIC
Contig112	DV569158	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig683	DV569162	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig647	DV569189	angiotensinogen precursor		Larsen_2007	HIGH_LOW_SALINITY
Contig647	DV569189	angiotensinogen precursor		Larsen_2007	NTHSEA_HILOW
Contig445	DV569211	cDNA clone JFConA705F		Larsen_2007	NTHSEA_BALTIC
PfIL288E01	DV569217	cDNA clone OD-081 similar to cytochrome c oxidase subunit Via		Larsen_2007	HIGH_LOW_SALINITY
PfIL288E01	DV569217	cDNA clone OD-081 similar to cytochrome c oxidase subunit Via		Larsen_2007	NTHSEA_HILOW
Contig202	DV569224	similar to onzin		Larsen_2007	HIGH_LOW_SALINITY
Contig202	DV569224	similar to onzin		Larsen_2007	NTHSEA_HILOW
Contig964	DV569229	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	HIGH_LOW_SALINITY
Contig964	DV569229	Alpha 2HS glycoprotein	cellular process; organismal physiological process; regulation of physiological process;	Larsen_2007	NTHSEA_HILOW
PfIL289A07	DV569241	none		Larsen_2007	NTHSEA_BALTIC
Contig41	DV569255	Lysozyme c		Larsen_2007	NTHSEA_HILOW
PfIL289F06	DV569265	none		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV569285	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL290B02	DV569287	none		Larsen_2007	NTHSEA_BALTIC
PfIL290D07	DV569296	none		Larsen_2007	NTHSEA_BALTIC
Contig867	DV569325	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig364	DV569353	"Translocon associated protein, gamma subunit"	cotranslational protein-membrane targeting;	Larsen_2007	NTHSEA_BALTIC
Contig683	DV569363	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig1013	DV569368	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL292C11	DV569393	none		Larsen_2007	NTHSEA_HILOW
Contig911	DV569404	ferritin heavy subunit; ferritin H		Larsen_2007	HIGH_LOW_SALINITY
Contig749	DV569405	Translocon-associated protein beta		Larsen_2007	NTHSEA_BALTIC
Contig749	DV569419	Translocon-associated protein beta		Larsen_2007	NTHSEA_BALTIC
Contig749	DV569425	Translocon-associated protein beta		Larsen_2007	NTHSEA_BALTIC
Contig41	DV569438	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig782	DV569456	Phosphotriesterase related protein		Larsen_2007	NTHSEA_BALTIC
Contig752	DV569457	Liver-expressed antimicrobial peptide 2A		Larsen_2007	NTHSEA_HILOW
Contig1071	DV569460	Mitochondrial ribosomal protein L47		Larsen_2007	NTHSEA_BALTIC
Contig683	DV569474	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
PfIL294H05	DV569488	U6 snRNA-associated Sm-like protein LSm5	"nuclear mRNA splicing, via spliceosome;"	Larsen_2007	NTHSEA_BALTIC
Contig354	DV569499	"Chaperonin containing TCP1, subunit 6A (zeta 1)"	cellular protein metabolism;	Larsen_2007	NTHSEA_HILOW
Contig662	DV569500	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
Contig683	DV569521	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig951	DV569528	Src family associated phosphoprotein 2		Larsen_2007	NTHSEA_BALTIC
Contig533	DV569533	complement component C9	cytolysis;	Larsen_2007	NTHSEA_BALTIC
Contig19	DV569543	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV569543	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig756	DV569601	D-dopachrome tautomerase		Larsen_2007	HIGH_LOW_SALINITY
Contig237	DV569610	none		Larsen_2007	HIGH_LOW_SALINITY
Contig237	DV569610	none		Larsen_2007	NTHSEA_HILOW
Contig480	DV569622	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV569622	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig1098	DV569631	family-2 cystatin		Larsen_2007	BALTIC_HILOW
Contig445	DV569635	cDNA clone JFConA705F		Larsen_2007	NTHSEA_BALTIC
PfIL299E03	DV569646	"tumor necrosis factor, alpha-induced protein 2"		Larsen_2007	NTHSEA_BALTIC
Contig662	DV569649	fertilization envelope outer layer protein		Larsen_2007	NTHSEA_HILOW
PfIL299G03	DV569653	Abhydrolase domain containing 6		Larsen_2007	NTHSEA_BALTIC
PfIL299H10	DV569660	none		Larsen_2007	HIGH_LOW_SALINITY
PfIL300C10	DV569675	cDNA clone CLJ93-G06		Larsen_2007	HIGH_LOW_SALINITY
PfIL300E07	DV569684	Biotinidase precursor	central nervous system development; nitrogen compound metabolism; epidermis development; fatty acid biosynthesis; biotin metabolism;	Larsen_2007	NTHSEA_BALTIC
PfIL301F10	DV569734	cDNA clone JFConA954F similar to Transcription factor BTF3		Larsen_2007	NTHSEA_BALTIC
Contig480	DV569740	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV569740	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig480	DV569775	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV569775	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig1013	DV569784	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL304D02	DV569788	none		Larsen_2007	HIGH_LOW_SALINITY
PfIL304D02	DV569788	none		Larsen_2007	NTHSEA_HILOW
PfIL304D06	DV569791	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"	"fructose 2,6-bisphosphate metabolism; glycolysis; gluconeogenesis; mannose metabolism;"	Larsen_2007	NTHSEA_BALTIC
PfIL304F10	DV569805	genomic clone DKEY-24F15		Larsen_2007	NTHSEA_HILOW
Contig480	DV569831	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV569831	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig762	DV569839	ubiquitin	cellular protein metabolism;	Larsen_2007	NTHSEA_HILOW
Contig1061	DV569841	Glutathione peroxidase		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV569855	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig480	DV569859	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV569859	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig417	DV569871	ferritin H-1	negative regulation of cell proliferation; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig774	DV569903	MHC II invariant chain	cellular metabolism; regulation of cellular physiological process; primary metabolism; immune response;	Larsen_2007	NTHSEA_BALTIC
PfIL305H09	DV569913	none		Larsen_2007	BALTIC_HILOW
PfIL306B09	DV569924	CCAAT/enhancer binding protein alpha	myeloid cell differentiation; cytokine and chemokine mediated signaling pathway; generation of precursor metabolites and energy; regulation of transcription from RNA polymerase II promoter;	Larsen_2007	NTHSEA_BALTIC
PfIL306G02	DV569949	cDNA clone CDA76-G09.y1d-s		Larsen_2007	NTHSEA_BALTIC
Contig19	DV569974	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_BALTIC
Contig19	DV569974	Neurotoxin/C59/Ly-6-like protein		Larsen_2007	NTHSEA_HILOW
Contig893	DV569988	"Fatty acyl-CoA hydrolase precursor, medium chain"		Larsen_2007	NTHSEA_BALTIC
Contig867	DV569990	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig774	DV570016	MHC II invariant chain	cellular metabolism; regulation of cellular physiological process; primary metabolism; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig775	DV570023	"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12"		Larsen_2007	NTHSEA_BALTIC
Contig670	DV570035	Ependymin		Larsen_2007	NTHSEA_BALTIC
Contig776	DV570042	heat shock protein 90 beta	biological_process;	Larsen_2007	NTHSEA_HILOW
Contig41	DV570053	Lysozyme c		Larsen_2007	NTHSEA_HILOW
PfIL310B08	DV570055	none		Larsen_2007	NTHSEA_BALTIC
Contig778	DV570076	Ubiquitin-like protein SMT3B precursor		Larsen_2007	NTHSEA_HILOW
Contig1006	DV570080	CD59 Glycoprotein precursor (MAC 1P)		Larsen_2007	NTHSEA_BALTIC
Contig683	DV570084	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig41	DV570087	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig1013	DV570102	Transferrin		Larsen_2007	NTHSEA_BALTIC
Contig782	DV570115	Phosphotriesterase related protein		Larsen_2007	NTHSEA_BALTIC
Contig783	DV570124	none		Larsen_2007	NTHSEA_BALTIC
Contig867	DV570129	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig112	DV570135	beta-2 microglobulin	immune response;	Larsen_2007	NTHSEA_BALTIC
Contig619	DV570153	cDNA clone clone WE3-5 sim to PADI-H protein		Larsen_2007	BALTIC_HILOW
Contig41	DV570163	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig778	DV570203	Ubiquitin-like protein SMT3B precursor		Larsen_2007	NTHSEA_HILOW
Contig867	DV570208	60S ribosomal protein L38	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig683	DV570215	60S ribosomal protein L37a	protein biosynthesis; ribosome biogenesis and assembly;	Larsen_2007	NTHSEA_HILOW
Contig1096	DV570220	40S ribosomal protein S27		Larsen_2007	NTHSEA_BALTIC
Contig41	DV570225	Lysozyme c		Larsen_2007	NTHSEA_HILOW
Contig202	DV570262	similar to onzin		Larsen_2007	HIGH_LOW_SALINITY
Contig202	DV570262	similar to onzin		Larsen_2007	NTHSEA_HILOW
Contig997	DV570263	SWAN RNA binding motif protein 12		Larsen_2007	NTHSEA_BALTIC
Contig417	DV570275	ferritin H-1	negative regulation of cell proliferation; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig417	DV570298	ferritin H-1	negative regulation of cell proliferation; immune response;	Larsen_2007	NTHSEA_BALTIC
Contig385	DV570302	none		Larsen_2007	NTHSEA_BALTIC
Contig1013	DV570323	Transferrin		Larsen_2007	NTHSEA_BALTIC
PfIL317H03	DV570345	none		Larsen_2007	HIGH_LOW_SALINITY
PfIL318C11	DV570366	none		Larsen_2007	NTHSEA_BALTIC
PfIL318D07	DV570371	vitamin K-dependent gamma-glutamyl carboxylase	blood coagulation; peptidyl-glutamic acid carboxylation;	Larsen_2007	HIGH_LOW_SALINITY
PfIL318D07	DV570371	vitamin K-dependent gamma-glutamyl carboxylase	blood coagulation; peptidyl-glutamic acid carboxylation;	Larsen_2007	NTHSEA_HILOW
Contig905	DV570375	nucleolin		Larsen_2007	NTHSEA_BALTIC
Contig202	DV570400	similar to onzin		Larsen_2007	HIGH_LOW_SALINITY
Contig202	DV570400	similar to onzin		Larsen_2007	NTHSEA_HILOW
PfIL319C08	DV570403	putative anaphase-promoting complex subunit APC11	mitosis; protein ubiquitination; cell division;	Larsen_2007	NTHSEA_BALTIC
Contig803	DV570419	Cystatin domain fetuin-like protein		Larsen_2007	HIGH_LOW_SALINITY
Contig364	DV570428	"Translocon associated protein, gamma subunit"	cotranslational protein-membrane targeting;	Larsen_2007	NTHSEA_BALTIC
Contig877	DV570439	biliverdin reductase B (flavin reductase (NADPH))	chlorophyll metabolism;	Larsen_2007	NTHSEA_BALTIC
Contig480	DV570447	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	HIGH_LOW_SALINITY
Contig480	DV570447	Apolipoprotein AI	lipoprotein metabolism; lipid transport;	Larsen_2007	NTHSEA_HILOW
Contig694	DV570448	prothrombin precursor	blood coagulation; proteolysis and peptidolysis;	Larsen_2007	HIGH_LOW_SALINITY
